Left-genes	Right-genes	Spans large gene (>200000bp)	STAR-Fusion	Fusioncatcher
SRGN	PPP1CA	FALSE	4=chr10:69103950-chr11:67398417	
SRGN	ANKLE2	FALSE	13=chr10:69088236-chr12:132755133	
SERP2	PSMF1	FALSE	10=chr13:44397272-chr20:1127508	
CHTF18	OAZ1	FALSE	8=chr16:796717-chr19:2269744,9=chr16:796717-chr19:2269744	
EML2	SNRPD2	FALSE	6=chr19:45629951-chr19:45688566	
ATP8B2	ANP32B	FALSE	5=chr1:154334591-chr9:98015364	
EML4:LOC102723824	COX7A2L	FALSE	7=chr2:42169636-chr2:42353343	
CD74	ANXA6	FALSE	16=chr5:150406321-chr5:151134427	
EIF4G2	DNAJC10	FALSE		79=chr11:10797646-chr2:182753595,80=chr11:10797646-chr2:182753597,81=chr11:10797648-chr2:182753595
MALAT1:TALAM1	TYMS	FALSE		168=chr11:65501464-chr18:662519,169=chr11:65501464-chr18:662520,170=chr11:65501465-chr18:662520,171=chr11:65501465-chr18:662519
SF1	NOP2	FALSE		128=chr11:64765068-chr12:6564278,129=chr11:64765121-chr12:6564279
GDI2	MALAT1	FALSE		101=chr10:5808703-chr11:65499132,104=chr10:5808703-chr11:65499135,107=chr10:5808704-chr11:65499134,108=chr10:5808704-chr11:65502042,110=chr10:5808704-chr11:65499132,113=chr10:5808704-chr11:65499131,86=chr10:5808703-chr11:65499133,88=chr10:5812206-chr11:65501281,89=chr10:5812208-chr11:65501281,93=chr10:5808703-chr11:65499134,94=chr10:5808702-chr11:65499134,95=chr10:5808702-chr11:65499135,96=chr10:5808702-chr11:65499133,97=chr10:5808704-chr11:65499133
FAM107B	DPY19L4	TRUE		82=chr10:14519450-chr8:94764733
HNRNPF	NDUFA12	FALSE		127=chr10:43386291-chr12:94991727
EIF3A	TTPAL	FALSE		85=chr10:119041012-chr20:44493461
VIM	ORMDL3	FALSE		177=chr10:17230920-chr17:39922316
ELF1	CRELD1	FALSE		38=chr13:40933485-chr3:9943114,39=chr13:40933486-chr3:9943114
MPHOSPH8	MB21D1	FALSE		42=chr13:19671031-chr6:73450793
LCP1	HECA	FALSE		120=chr13:46126882-chr6:139136654,121=chr13:46126882-chr6:139136653
RNF10	RHOA	FALSE		43=chr12:120572076-chr3:49359747,44=chr12:120553053-chr3:49360266,45=chr12:120553053-chr3:49360267,46=chr12:120576963-chr3:49360302,47=chr12:120576962-chr3:49360303
NAP1L1	ACTR2	FALSE		125=chr12:76072301-chr2:65269522,126=chr12:76072301-chr2:65270735
MLF2	SF3B1	FALSE		159=chr12:6748511-chr2:197400729,160=chr12:6748509-chr2:197400727
LDHB	CASP2	FALSE		123=chr12:21644429-chr7:143306684
RAB8B	NTRK2	TRUE		152=chr15:63197386-chr9:84812972,153=chr15:63197386-chr9:84812971,154=chr15:63197387-chr9:84812972
