cAL1	1	0	750000	NA	-10.96578428
cAL1	1	750000	7000000	NA	-1
cAL1	1	12800000	13200000	NA	-1
cAL1	2	105300000	106600000	NA	-1
cAL1	2	109750000	110100000	NA	-10.96578428
cAL1	2	110200000	110600000	NA	-1
cAL1	2	130450000	130600000	NA	-10.96578428
cAL1	4	52100000	56250000	NA	-1
cAL1	4	68500000	68650000	NA	-1
cAL1	6	34100000	34150000	NA	-1
cAL1	6	100000000	100650000	NA	-1
cAL1	6	105000000	110450000	NA	-1
cAL1	7	60800000	87400000	NA	-1
cAL1	7	113050000	113700000	NA	-1
cAL1	8	0	200000	NA	-10.96578428
cAL1	8	200000	2250000	NA	-1
cAL1	8	2250000	2500000	NA	-10.96578428
cAL1	8	2500000	7150000	NA	-1
cAL1	8	7150000	8150000	NA	-10.96578428
cAL1	8	8150000	12550000	NA	-1
cAL1	8	12600000	16850000	NA	-1
cAL1	8	18550000	28950000	NA	-1
cAL1	1	10800000	11000000	NA	1.321928095
cAL1	1	11000000	12750000	NA	1.584962501
cAL1	1	13350000	16600000	NA	0.584962501
cAL1	1	147000000	148500000	NA	0.584962501
cAL1	1	149900000	154700000	NA	0.584962501
cAL1	1	154750000	201000000	NA	0.584962501
cAL1	1	201000000	201050000	NA	0.584962501
cAL1	1	201050000	201250000	NA	0.584962501
cAL1	1	201300000	202200000	NA	0.584962501
cAL1	1	202250000	202600000	NA	0.584962501
cAL1	1	202600000	202650000	NA	0.584962501
cAL1	1	202650000	204150000	NA	0.584962501
cAL1	1	204200000	205950000	NA	0.584962501
cAL1	1	206000000	206900000	NA	0.584962501
cAL1	1	206900000	206950000	NA	0.584962501
cAL1	1	206950000	226950000	NA	0.584962501
cAL1	1	226950000	227000000	NA	0.584962501
cAL1	1	227000000	243450000	NA	0.584962501
cAL1	1	243450000	243500000	NA	0.584962501
cAL1	1	243500000	248750000	NA	0.584962501
cAL1	1	248800000	248956422	NA	0.584962501
cAL1	5	7400000	7500000	NA	0.584962501
cAL1	7	87400000	94650000	NA	1
cAL1	7	94650000	101400000	NA	0.584962501
cAL1	7	102700000	105100000	NA	0.584962501
cAL1	7	105100000	108200000	NA	1
cAL1	7	108200000	113050000	NA	0.584962501
cAL1	7	113700000	119250000	NA	0.584962501
cAL1	7	127050000	134500000	NA	0.584962501
cAL1	7	134500000	141500000	NA	1
cAL1	7	147600000	150200000	NA	0.584962501
cAL1	7	150200000	153500000	NA	1.321928095
cAL1	11	89800000	90100000	NA	-1
cAL1	14	21650000	22500000	NA	-1
cAL1	15	32150000	32600000	NA	-10.96578428
cAL1	15	34350000	34600000	NA	-1
cAL1	16	15950000	16250000	NA	0.584962501
cAL2	3	112748554	167633620	NA	-1
cAL2	7	38250000	38350000	NA	-1
cAL2	5	172600000	176550000	NA	0.584962501
cAL2	5	176600000	177700000	NA	0.584962501
cAL2	5	178400000	180600000	NA	0.584962501
cAL2	14	21850000	22550000	NA	-1
cAL2	20	59600000	60300000	NA	-1
cAL2	20	60350000	60700000	NA	-1
cAL3	7	10692973	110875049	NA	-1
cAL3	2	0	1550000	NA	0.584962501
cAL3	2	1700000	3650000	NA	0.584962501
cAL3	2	3700000	10350000	NA	0.584962501
cAL3	2	10400000	10500000	NA	0.584962501
cAL3	2	10550000	10950000	NA	0.584962501
cAL3	2	11000000	16350000	NA	0.584962501
cAL3	2	16400000	20150000	NA	0.584962501
cAL3	2	20200000	32900000	NA	0.584962501
cAL3	2	32950000	46850000	NA	0.584962501
cAL3	2	46900000	60450000	NA	0.584962501
cAL3	2	60500000	64350000	NA	0.584962501
cAL3	2	64400000	71550000	NA	0.584962501
