Left-genes	Right-genes	Spans large gene (>200000bp)	STAR-Fusion	Fusioncatcher
EEF2	RABAC1	FALSE	3=chr19:3985378-chr19:41958948	
TEX10	GOLGA1	FALSE	4=chr9:100326479-chr9:124940106	
HLA-DRA	HLA-DRB1	FALSE	5=chr6:32442448-chr6:32589643	
HLA-DRB1	HLA-DQA1	FALSE	8=chr6:32579104-chr6:32637540	
HSP90AA1	ZNF43	FALSE	1=chr14:102081172-chr19:21806257	
BAZ1A	ACLY	FALSE	2=chr14:34874492-chr17:41884274	
SCLT1	INPP4B	TRUE	6=chr4:128948570-chr4:142583623	
IFITM2	BACE1	FALSE		2=chr11:309373-chr11:117288026,3=chr11:309372-chr11:117288027
ARHGAP1	MALAT1:TALAM1	FALSE		22=chr11:46689083-chr11:65502656,23=chr11:46689085-chr11:65502656
RTN3	IRF4	FALSE		70=chr11:63684145-chr6:411013
LYZ	POLR1B	FALSE		57=chr12:69353506-chr2:112548616,58=chr12:69353506-chr2:112569563,59=chr12:69353506-chr2:112566736,60=chr12:69353494-chr2:112546554,61=chr12:69353497-chr2:112546555,62=chr12:69353507-chr2:112548616,63=chr12:69353507-chr2:112566736,64=chr12:69353507-chr2:112569563
C15orf57	ARPC2	FALSE		24=chr15:40532737-chr2:218254099,25=chr15:40532737-chr2:218254101,26=chr15:40532735-chr2:218254101,27=chr15:40532737-chr2:218254100,28=chr15:40532738-chr2:218254099,29=chr15:40532738-chr2:218254100,30=chr15:40532740-chr2:218254099,31=chr15:40532738-chr2:218254101,32=chr15:40532735-chr2:218254100
B2M	RACK1	FALSE		49=chr15:44717676-chr5:181241429,50=chr15:44717674-chr5:181241429
SPG21	EZR	FALSE		74=chr15:64979853-chr6:158766490
FCF1	YTHDF1	FALSE		42=chr14:74730222-chr20:63195763,43=chr14:74722063-chr20:63195763
NUBPL	SPN	TRUE		75=chr14:31845591-chr16:29669805
KRT10	CARM1	FALSE		51=chr17:40819010-chr19:10871602,52=chr17:40819010-chr19:10871605,53=chr17:40819010-chr19:10871599,54=chr17:40819010-chr19:10871593,55=chr17:40819010-chr19:10871590,56=chr17:40819010-chr19:10871596
COL1A1	PSMD12	FALSE		67=chr17:50185226-chr17:67365188
SDF2	ACTB	FALSE		71=chr17:28650813-chr7:5527491,72=chr17:28650814-chr7:5527494,73=chr17:28650813-chr7:5527493
ADCY9	CANX	FALSE		12=chr16:4039687-chr5:179730367,13=chr16:4039685-chr5:179730367,14=chr16:4039687-chr5:179730365,15=chr16:3991774-chr5:179730367,16=chr16:3991772-chr5:179730367,17=chr16:4068817-chr5:179730039,18=chr16:4095984-chr5:179729896,19=chr16:4095984-chr5:179729895,20=chr16:4071350-chr5:179729896,21=chr16:4071350-chr5:179729895
CYLD	YWHAB	FALSE		34=chr16:50786784-chr20:44908175,35=chr16:50786785-chr20:44908175
GRAMD1A	NUP210	FALSE		10=chr19:35026096-chr3:13317590,9=chr19:35026097-chr3:13317589
DAZAP1	ACTB	FALSE		36=chr19:1415408-chr7:5527498,37=chr19:1415409-chr7:5527498,38=chr19:1430736-chr7:5527498,39=chr19:1430737-chr7:5527498,40=chr19:1415408-chr7:5527499,41=chr19:1430736-chr7:5527499
CD58	IGSF3	FALSE		1=chr1:116521983-chr1:116579392
ACBD6	BIRC3	TRUE		33=chr1:180293316-chr11:102322800
NSL1	MAT2B	FALSE		65=chr1:212733437-chr5:163518727,66=chr1:212733438-chr5:163518725
SFN	COL6A2	FALSE		6=chr1:26863525-chr21:46125948
GNB1	RAB11FIP3	FALSE		68=chr1:1786910-chr16:433044
SEPT10	ACTR3	FALSE		11=chr2:109609620-chr2:113951479
DOCK2	TMSB4X	TRUE		7=chr5:170083353-chrX:12976961,8=chr5:170083353-chrX:12976962
TUBB	PHF2	FALSE		4=chr6:30724517-chr9:93596778,5=chr6:30724517-chr9:93596779
PABPC1	FUBP3	FALSE		44=chr8:100721691-chr9:130619319,45=chr8:100721691-chr9:130589721,46=chr8:100721691-chr9:130601817,47=chr8:100721691-chr9:130590037
