Left-genes	Right-genes	Spans large gene (>200000bp)	STAR-Fusion	Fusioncatcher
C15orf57	CBX3	FALSE	8=chr15:40562772-chr7:26201769	
RBM25	RPL26	FALSE	10=chr14:73103245-chr17:8377577	
ALDH3A2	C7orf55-LUC7L2:LUC7L2	FALSE	11=chr17:19652632-chr7:139398599,12=chr17:19652632-chr7:139398599	
RPL28	REV3L	FALSE	4=chr19:55386358-chr6:111482947	
PLEC	SHARPIN	FALSE	13=chr8:143973403-chr8:144103225	
MALAT1:TALAM1	UBE2E1	FALSE		66=chr11:65502654-chr3:23831533
SF3B2	IKZF3	FALSE		51=chr11:66066370-chr17:39761080
RTN3	TUBB	FALSE		60=chr11:63684146-chr6:30724516
DDIT4	COPG1	FALSE		50=chr10:72275058-chr3:129260631
DLEU7:DLEU7-AS1	RNASEH2B-AS1	FALSE		35=chr13:50823520-chr13:50882511
RNASEH2B-AS1	LINC-PINT	FALSE		1=chr13:50889735-chr7:130945720,2=chr13:50889735-chr7:130945723,3=chr13:50882643-chr7:130945720,4=chr13:50882645-chr7:130945720,5=chr13:50891504-chr7:130945720
LDHB	ACTR2	FALSE		57=chr12:21644432-chr2:65270734
LOC101927018:PHF12	LUC7L3	FALSE		36=chr17:28927063-chr17:50719831
EDC4	FLNA	FALSE		32=chr16:67884216-chrX:154352372,33=chr16:67884217-chrX:154352370
RPL13	NBAS	TRUE		58=chr16:89560940-chr2:15518132,59=chr16:89560940-chr2:15518131
SPN	AMD1	FALSE		49=chr16:29669415-chr6:110886040,61=chr16:29668735-chr6:110888574
GLTSCR2	ODC1	FALSE		37=chr19:47752514-chr2:10440811
ACOT7	HNRNPA2B1	FALSE		40=chr1:6344774-chr7:26197394,41=chr1:6284583-chr7:26197394,44=chr1:6315763-chr7:26197394,45=chr1:6338007-chr7:26197394,46=chr1:6275725-chr7:26197394
ACOT7	SRSF1	FALSE		47=chr1:6315766-chr17:58004009
PRKCZ	ST3GAL2	FALSE		62=chr1:2138772-chr16:70379801,63=chr1:2145751-chr16:70379804,64=chr1:2138772-chr16:70379800
PDCL2	NMU	FALSE		34=chr4:55582237-chr4:55599142
LAP3	ACTB	FALSE		52=chr4:17587441-chr7:5527498,53=chr4:17587441-chr7:5527499,54=chr4:17587444-chr7:5527498,55=chr4:17587443-chr7:5527498,56=chr4:17587441-chr7:5527501
MGC72080	MGC72080	FALSE		38=chr7:97966977-chr7:97969005,39=chr7:97966977-chr7:97969770
SLC37A4	ETS1	FALSE	5=chr11:119025076-chr11:128521913,9=chr11:119026688-chr11:128521913	29=chr11:119025076-chr11:128521913
CNN2	ARHGAP45	FALSE	1=chr19:1036130-chr19:1074407	10=chr19:1038333-chr19:1077394,11=chr19:1038333-chr19:1070348,12=chr19:1038333-chr19:1076510,13=chr19:1038333-chr19:1076506,14=chr19:1038333-chr19:1076509,15=chr19:1038333-chr19:1076511,16=chr19:1038333-chr19:1076505,17=chr19:1038333-chr19:1077393,18=chr19:1038333-chr19:1069834,19=chr19:1038333-chr19:1076503,20=chr19:1038333-chr19:1076502,21=chr19:1038333-chr19:1076513,22=chr19:1038333-chr19:1076501,23=chr19:1038333-chr19:1076507,24=chr19:1038333-chr19:1076512,25=chr19:1038333-chr19:1076508,26=chr19:1038333-chr19:1076504,6=chr19:1036130-chr19:1074407,7=chr19:1035826-chr19:1074422,8=chr19:1035825-chr19:1074421,9=chr19:1036130-chr19:1074241
TP63	SMARCAD1	TRUE	2=chr3:189738774-chr4:94249654,3=chr3:189808272-chr4:94241006	27=chr3:189808272-chr4:94241006,28=chr3:189738774-chr4:94249654
