Left-genes	Right-genes	Spans large gene (>200000bp)	STAR-Fusion	Fusioncatcher
SSBP3	MALAT1:TALAM1	FALSE	5=chr1:54226754-chr11:65499717	
TNFRSF1B	PTMS	FALSE	8=chr1:12167169-chr12:6769603	
MALAT1	LUC7L3	FALSE		19=chr11:65499134-chr17:50733414,20=chr11:65499134-chr17:50733415,21=chr11:65499133-chr17:50733414,22=chr11:65499133-chr17:50733415,23=chr11:65499137-chr17:50733416,24=chr11:65499134-chr17:50733416,25=chr11:65499132-chr17:50733414
MEDAG:TEX26-AS1	COL3A1	FALSE		49=chr13:30922270-chr2:189012410,50=chr13:30922270-chr2:189012409
BCL2L2-PABPN1:PABPN1	DTX2P1-UPK3BP1-PMS2P11	FALSE		26=chr14:23325334-chr7:76981102
COL1A1	CEBPZ	FALSE		27=chr17:50185257-chr2:37202692,28=chr17:50185226-chr2:37204293,29=chr17:50185226-chr2:37204294,30=chr17:50185276-chr2:37202692,31=chr17:50185276-chr2:37202675,32=chr17:50185276-chr2:37202673,33=chr17:50185253-chr2:37202669,34=chr17:50185253-chr2:37202670,35=chr17:50185226-chr2:37204295,36=chr17:50185226-chr2:37213429
GGNBP2	DHRS11	FALSE		51=chr17:36587245-chr17:36594971
LINC01133	TLDC2	FALSE		10=chr1:159976960-chr20:36890421,11=chr1:159976939-chr20:36890418,12=chr1:159977006-chr20:36890421,13=chr1:159976917-chr20:36890422,14=chr1:159976913-chr20:36890418,15=chr1:159976912-chr20:36890423,16=chr1:159976913-chr20:36890414,17=chr1:159976921-chr20:36890422,18=chr1:159976913-chr20:36890410,3=chr1:159976936-chr20:36890421,4=chr1:159976932-chr20:36890421,5=chr1:159976948-chr20:36890421,6=chr1:159976940-chr20:36890421,7=chr1:159976952-chr20:36890421,8=chr1:159976956-chr20:36890421,9=chr1:159976944-chr20:36890421
MAP4K4	DTX2P1-UPK3BP1-PMS2P11	FALSE		48=chr2:101891987-chr7:76981102
GPS2	CHD3	FALSE	1=chr17:7314488-chr17:7889664,2=chr17:7314488-chr17:7889664,3=chr17:7314488-chr17:7887029,4=chr17:7314488-chr17:7887029	1=chr17:7314488-chr17:7889664,2=chr17:7314488-chr17:7887029
GPS2	TNK1	FALSE	6=chr17:7314159-chr17:7387154,7=chr17:7314159-chr17:7387154	47=chr17:7314159-chr17:7387154
