Left-genes	Right-genes	Spans large gene (>200000bp)	STAR-Fusion	Fusioncatcher
MCM6	CCNI	FALSE	6=chr2:135858004-chr4:77055962	
HOXD11	AGAP3	FALSE	2=chr2:176107616-chr7:151086841	
SS18L1	RANBP1	FALSE	7=chr20:62179182-chr22:20119149	
MALAT1	SNX32	FALSE		10=chr11:65504326-chr11:65848408,11=chr11:65499134-chr11:65837821,12=chr11:65499132-chr11:65837822,13=chr11:65499133-chr11:65837821,8=chr11:65499135-chr11:65837821
BIRC3	SEC11A	FALSE		16=chr11:102324412-chr15:84676452,17=chr11:102324413-chr15:84702470
MKI67	KLHL15	FALSE		26=chr10:128102706-chrX:23984544
NCOR2	EP400	TRUE		14=chr12:124402549-chr12:132062554,15=chr12:124419957-chr12:132062537
B2M	PAPSS1	FALSE		18=chr15:44717674-chr4:107701978,20=chr15:44717676-chr4:107655107
KPNB1	GALNT7	FALSE		22=chr17:47664166-chr4:173215247,23=chr17:47664166-chr4:173197078,24=chr17:47664166-chr4:173197077
ALDOA	TUBB	FALSE		28=chr16:30056122-chr6:30724518
KIR2DS1:KIR2DS2:KIR2DS3:KIR2DS5:LOC101928804	KIR2DL4:KIR2DS1:KIR2DS2:KIR2DS3:KIR2DS5:LOC101928804	FALSE		25=chr19:54790318-chr19:54803891
FAM129A	TRIO	TRUE		21=chr1:184792234-chr5:14317717
HDGF	RBPJ	FALSE		44=chr1:156742826-chr4:26394041,45=chr1:156742826-chr4:26359428,46=chr1:156742824-chr4:26359429,47=chr1:156742824-chr4:26359428,48=chr1:156742826-chr4:26359429,49=chr1:156742826-chr4:26394042,50=chr1:156742827-chr4:26394041,51=chr1:156742827-chr4:26359428
RAF1	CANX	FALSE		37=chr3:12633629-chr5:179730298,38=chr3:12648290-chr5:179730367,39=chr3:12624886-chr5:179730041,40=chr3:12633935-chr5:179730041,41=chr3:12648288-chr5:179730367,42=chr3:12648290-chr5:179730365,43=chr3:12619569-chr5:179730365
ACTR3	LINC01191	FALSE		6=chr2:113955706-chr2:114007019
PDK1	COL6A3	FALSE		35=chr2:172605385-chr2:237324371,36=chr2:172585333-chr2:237324371
MRFAP1L1	DOCK8	TRUE		29=chr4:6708387-chr9:223783
THOP1	GATAD2A	FALSE	8=chr19:2785678-chr19:19465340	4=chr19:2785678-chr19:19465340
