Left-genes	Right-genes	Spans large gene (>200000bp)	STAR-Fusion	Fusioncatcher
CLK2	NUMA1	FALSE	5=chr1:155268010-chr11:72035975	
UBR4	MPV17	FALSE	7=chr1:19101641-chr2:27322448	
RPS6KB2	UTP6	FALSE	4=chr11:67434230-chr17:31880419	
RASSF3	B2M	FALSE		13=chr12:64676482-chr15:44717676,14=chr12:64676484-chr15:44717676,15=chr12:64676482-chr15:44717674
IRF2BPL	MED12	FALSE		2=chr14:77027444-chrX:71141271
CALM1	DIAPH1	FALSE		4=chr14:90404752-chr5:141615443,5=chr14:90404752-chr5:141534042,6=chr14:90404752-chr5:141537494
ANKRD12	MOSPD3	FALSE		3=chr18:9282972-chr7:100612944
S100A10	PTEN	FALSE		10=chr1:151983318-chr10:87909837,11=chr1:151983317-chr10:87909837,12=chr1:151983318-chr10:87909836,9=chr1:151983317-chr10:87909836
DDOST:PINK1-AS	NUDT3:RPS10-NUDT3	FALSE		7=chr1:20652154-chr6:34374168,8=chr1:20652154-chr6:34374167
CXCL9:LOC101928809	TSPAN5	FALSE		19=chr4:76002942-chr4:98497320,20=chr4:76002941-chr4:98497320,21=chr4:76002942-chr4:98548012,22=chr4:76002942-chr4:98487239,23=chr4:76002729-chr4:98495536,24=chr4:76002729-chr4:98485113,25=chr4:76002729-chr4:98495537,26=chr4:76002729-chr4:98485114
ACTB	STX17	FALSE		16=chr7:5527498-chr9:99957670,17=chr7:5527498-chr9:99957671,18=chr7:5527499-chr9:99957670
AGTRAP	LST1	FALSE	1=chr1:11736235-chr6:31588518,2=chr1:11738158-chr6:31588436	1=chr1:11736235-chr6:31588518
