Left-genes	Right-genes	Spans large gene (>200000bp)	STAR-Fusion	Fusioncatcher
CASP4	CAND1	FALSE	12=chr11:104952006-chr12:67306094	
DNAJC24	NFYB	FALSE	23=chr11:31370859-chr12:104128517	
AHNAK	B2M	FALSE	36=chr11:62546660-chr15:44715423	
PHRF1	ARHGAP27	FALSE	29=chr11:587464-chr17:45406083	
UNC93B1	DUSP22	FALSE	2=chr11:67991857-chr6:311962	
LOC642361:NUTM2B-AS1	CBL	FALSE	17=chr10:79826383-chr11:119206294	
VIM	CCNJ:ENTPD1-AS1	TRUE	19=chr10:17229745-chr10:96059432	
NT5C2	KLHL5	FALSE	28=chr10:103174858-chr4:39113020	
ITGB7	TCF3	FALSE	32=chr12:53196820-chr19:1615285	
C1R	SPOPL	FALSE	18=chr12:7081279-chr2:138571886	
POLG	MAZ	FALSE	27=chr15:89322015-chr16:29808741	
ASPSCR1	FLNA	FALSE	24=chr17:82016476-chrX:154374506	
GGA1	POM121	FALSE	15=chr22:37630065-chr7:72943282	
RPL28	REV3L	FALSE	5=chr19:55386358-chr6:111482947	
MAP4K1	UQCC2	FALSE	34=chr19:38614085-chr6:33711549	
WDR7	WNT10A	TRUE	20=chr18:56816055-chr2:218893015	
HP1BP3	COPS2	FALSE	22=chr1:20773610-chr15:49155525	
LINC01934	ITGA4	TRUE	35=chr2:181262977-chr2:181474960,9=chr2:181226535-chr2:181457530	
HOXD11	AGAP3	FALSE	11=chr2:176107588-chr7:151086814	
RASGEF1C	RPL10	FALSE	16=chr5:180115284-chrX:154399526	
GMDS	FARS2	TRUE	25=chr6:1959867-chr6:5545180	
YWHAB	STK4	FALSE	31=chr20:44901531-chr20:45025130	
CHD6	YWHAZ	TRUE		345=chr20:41517437-chr8:100920599,346=chr20:41433081-chr8:100919609
STK4	FLNB	FALSE		395=chr20:45079216-chr3:58044625
RNF114	ZNF316	FALSE		222=chr20:49952654-chr7:6653439
CSE1L	EXOC4	TRUE		381=chr20:49088039-chr7:133650953,382=chr20:49088039-chr7:133749971,383=chr20:49088039-chr7:133412294
OSBPL2	RAC1	FALSE		542=chr20:62257730-chr7:6402617
